airline,source,destination,total_stops,additional_info,price,duration_in_min,journey_day,journey_month,dept_hour,dept_min,arrv_hour,arrv_min
Jet Airways,Delhi,Cochin,1,In-flight meal not included,10262,1145,15,6,17,30,12,35
SpiceJet,Chennai,Kolkata,0,No check-in baggage included,3332,135,21,3,8,20,10,35
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,10844,890,9,6,21,10,12,0
Jet Airways,Banglore,Delhi,0,No Info,7229,160,24,3,19,55,22,35
Jet Airways,Kolkata,Banglore,1,No Info,13941,1330,6,5,6,30,4,40
IndiGo,Delhi,Cochin,1,No Info,5894,575,27,6,11,25,21,0
Multiple carriers,Delhi,Cochin,1,No Info,10197,600,18,5,9,0,19,0
Jet Airways,Banglore,Delhi,1,In-flight meal not included,13712,1280,6,3,14,5,11,25
IndiGo,Delhi,Cochin,1,No Info,5636,325,24,6,2,0,7,25
Jet Airways,Delhi,Cochin,2,No Info,13014,1125,6,6,9,40,4,25
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,7064,740,1,4,8,25,20,45
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,10703,1080,24,5,20,25,14,25
Multiple carriers,Delhi,Cochin,1,No Info,9646,555,27,5,13,15,22,30
Multiple carriers,Delhi,Cochin,1,No Info,17057,665,6,3,2,15,13,20
Jet Airways,Banglore,Delhi,1,No Info,13817,1050,12,3,16,55,10,25
Air India,Delhi,Cochin,2,No Info,13748,800,6,3,5,55,19,15
Air India,Kolkata,Banglore,0,No Info,4880,155,21,4,20,45,23,20
IndiGo,Chennai,Kolkata,0,No Info,3540,145,21,6,5,15,7,40
SpiceJet,Banglore,Delhi,0,No check-in baggage included,3257,160,15,5,5,55,8,35
Jet Airways,Banglore,Delhi,0,In-flight meal not included,6478,180,3,6,19,50,22,50
Jet Airways,Mumbai,Hyderabad,0,No Info,8040,85,18,6,7,5,8,30
Jet Airways,Delhi,Cochin,2,No Info,14300,995,12,6,20,0,12,35
Jet Airways,Kolkata,Banglore,1,No Info,14781,740,15,5,8,25,20,45
Jet Airways,Kolkata,Banglore,1,No Info,14939,735,9,6,20,0,8,15
Jet Airways,Delhi,Cochin,1,In-flight meal not included,10262,450,24,6,20,55,4,25
Air India,Kolkata,Banglore,1,No Info,6528,1440,12,5,14,35,14,35
Air India,Banglore,Delhi,0,No Info,6121,165,1,5,6,10,8,55
Jet Airways,Delhi,Cochin,2,In-flight meal not included,13029,535,18,5,19,30,4,25
Multiple carriers,Delhi,Cochin,1,No Info,11421,430,27,3,11,40,18,50
Multiple carriers,Delhi,Cochin,1,No Info,7574,870,27,3,4,45,19,15
Air India,Delhi,Cochin,2,No Info,11596,1820,9,5,12,55,19,15
Jet Airways,Delhi,Cochin,2,No Info,15129,1195,24,5,23,5,19,0
Jet Airways,Banglore,Delhi,1,No Info,13555,900,18,3,14,5,5,5
IndiGo,Banglore,Delhi,0,No Info,5780,175,12,4,18,55,21,50
Vistara,Kolkata,Banglore,1,No Info,9397,765,12,5,20,20,9,5
Jet Airways,Delhi,Cochin,1,No Info,17024,610,6,3,18,15,4,25
GoAir,Delhi,Cochin,1,No Info,5281,355,27,6,7,0,12,55
Multiple carriers,Delhi,Cochin,1,No Info,10348,925,18,5,7,5,22,30
Air India,Delhi,Cochin,1,No Info,12677,965,6,3,17,20,9,25
Multiple carriers,Delhi,Cochin,1,No Info,15147,610,3,3,15,25,1,35
Vistara,Banglore,Delhi,0,No Info,4668,160,12,6,7,0,9,40
Jet Airways,Delhi,Cochin,1,No Info,15554,715,9,5,7,5,19,0
SpiceJet,Banglore,Delhi,0,No Info,3971,160,9,4,5,55,8,35
Air India,Mumbai,Hyderabad,0,No Info,3100,85,3,5,15,0,16,25
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,9663,845,6,5,20,0,10,5
Air India,Delhi,Cochin,1,No Info,27430,1215,1,3,23,0,19,15
IndiGo,Chennai,Kolkata,0,No Info,3540,145,12,5,5,15,7,40
Air India,Kolkata,Banglore,2,No Info,10676,1390,21,5,12,0,11,10
Jet Airways,Kolkata,Banglore,1,No Info,13044,1090,12,6,14,5,8,15
Jet Airways,Kolkata,Banglore,1,No Info,14388,960,6,5,20,0,12,0
IndiGo,Banglore,Delhi,0,No Info,3943,170,24,6,4,0,6,50
IndiGo,Chennai,Kolkata,0,No Info,3597,140,3,6,14,45,17,5
Air India,Banglore,Delhi,1,No Info,5932,480,21,3,11,50,19,50
Jet Airways,Delhi,Cochin,1,In-flight meal not included,10262,1015,15,6,11,30,4,25
Vistara,Delhi,Cochin,0,No Info,6216,190,12,5,14,40,17,50
IndiGo,Kolkata,Banglore,0,No Info,4804,165,15,6,20,25,23,10
Multiple carriers,Delhi,Cochin,1,No Info,14067,840,21,5,11,30,1,30
Jet Airways,Delhi,Cochin,2,No Info,15129,1430,18,5,19,10,19,0
Jet Airways,Delhi,Cochin,2,No Info,13376,1300,6,6,6,45,4,25
Air India,Delhi,Cochin,2,No Info,10441,1275,27,6,22,0,19,15
Jet Airways,Banglore,Delhi,0,In-flight meal not included,4030,165,24,5,6,0,8,45
Jet Airways,Delhi,Cochin,1,No Info,17024,650,3,3,8,0,18,50
Multiple carriers,Delhi,Cochin,1,No Info,13017,480,9,4,17,30,1,30
GoAir,Kolkata,Banglore,1,No Info,6686,495,6,6,23,30,7,45
IndiGo,Delhi,Cochin,1,No Info,5636,325,15,6,2,0,7,25
IndiGo,Delhi,Cochin,1,No Info,6442,515,9,6,7,35,16,10
Multiple carriers,Delhi,Cochin,1,No Info,9486,710,21,5,13,5,0,55
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,10844,1655,21,5,20,0,23,35
Jet Airways,Delhi,Cochin,2,In-flight meal not included,15318,505,3,6,20,0,4,25
Air India,Delhi,Cochin,1,No Info,5117,1255,3,4,12,30,9,25
IndiGo,Delhi,Cochin,1,No Info,6147,290,24,6,15,10,20,0
Multiple carriers,Delhi,Cochin,1,No Info,7005,490,9,6,12,50,21,0
SpiceJet,Kolkata,Banglore,0,No Info,3873,140,3,4,22,20,0,40
Jet Airways,Delhi,Cochin,2,In-flight meal not included,9270,1465,21,3,18,25,18,50
GoAir,Banglore,Delhi,0,No Info,3898,170,27,6,11,40,14,30
Jet Airways,Kolkata,Banglore,1,No Info,14781,740,12,5,8,25,20,45
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,8586,735,24,5,20,0,8,15
Air India,Kolkata,Banglore,2,No Info,10697,1415,9,5,8,20,7,55
Jet Airways,Delhi,Cochin,2,No Info,14300,995,27,6,20,0,12,35
IndiGo,Banglore,Delhi,0,No Info,8855,170,3,3,18,55,21,45
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,10844,1545,12,5,16,30,18,15
Jet Airways,Delhi,Cochin,1,No Info,17024,1570,6,3,2,15,4,25
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,9314,1730,1,5,9,35,14,25
IndiGo,Banglore,Delhi,0,No Info,4777,165,24,3,0,40,3,25
Air India,Kolkata,Banglore,1,No Info,7662,1515,9,6,12,0,13,15
IndiGo,Delhi,Cochin,1,No Info,6442,560,9,5,6,50,16,10
SpiceJet,Delhi,Cochin,1,No Info,5264,270,12,6,8,45,13,15
Jet Airways,Delhi,Cochin,1,In-flight meal not included,12898,925,27,5,13,0,4,25
Air India,Mumbai,Hyderabad,0,No Info,6092,90,3,3,13,55,15,25
SpiceJet,Banglore,Delhi,0,No Info,3311,160,21,5,5,55,8,35
Jet Airways,Delhi,Cochin,1,In-flight meal not included,6540,550,27,3,19,15,4,25
IndiGo,Banglore,Delhi,0,No Info,3419,165,27,5,1,30,4,15
Jet Airways,Delhi,Cochin,1,In-flight meal not included,5177,1355,3,4,14,0,12,35
Air India,Delhi,Cochin,0,No Info,8246,185,18,4,18,5,21,10
Jet Airways,Kolkata,Banglore,1,No Info,14676,690,9,6,9,35,21,5
Multiple carriers,Delhi,Cochin,1,No Info,13587,570,27,6,11,30,21,0
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,9663,730,6,5,21,10,9,20
Jet Airways,Kolkata,Banglore,1,No Info,13044,1055,12,6,16,30,10,5
IndiGo,Delhi,Cochin,1,No Info,5073,305,3,4,20,25,1,30
Vistara,Kolkata,Banglore,1,No Info,9345,1550,21,5,17,0,18,50
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,9663,1200,6,5,14,5,10,5
Multiple carriers,Delhi,Cochin,1,No Info,14277,780,21,5,8,0,21,0
Jet Airways,Delhi,Cochin,1,In-flight meal not included,10262,1105,1,6,10,0,4,25
Jet Airways,Mumbai,Hyderabad,0,No Info,5678,90,27,3,19,35,21,5
Multiple carriers,Delhi,Cochin,1,No Info,13727,570,15,5,16,0,1,30
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,9663,960,6,5,20,0,12,0
IndiGo,Chennai,Kolkata,0,No Info,3858,140,12,5,14,45,17,5
SpiceJet,Delhi,Cochin,1,No Info,4812,270,24,6,8,45,13,15
IndiGo,Delhi,Cochin,1,No Info,5775,345,27,6,21,50,3,35
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,10539,1450,6,6,9,35,9,45
IndiGo,Kolkata,Banglore,0,No Info,4804,155,3,6,15,30,18,5
Air Asia,Banglore,Delhi,0,No Info,3383,165,12,6,11,10,13,55
IndiGo,Banglore,Delhi,1,No Info,8738,295,3,3,12,10,17,5
Air India,Delhi,Cochin,1,No Info,7165,1535,27,3,5,15,6,50
IndiGo,Delhi,Cochin,1,No Info,6412,380,24,6,16,10,22,30
Jet Airways,Banglore,Delhi,0,No Info,8016,185,27,6,18,55,22,0
Jet Airways,Banglore,Delhi,1,In-flight meal not included,11087,1120,12,3,20,35,15,15
SpiceJet,Chennai,Kolkata,0,No check-in baggage included,3543,135,27,6,9,45,12,0
Jet Airways,Kolkata,Banglore,1,No Info,12471,730,12,6,16,30,4,40
Jet Airways,Delhi,Cochin,1,In-flight meal not included,10262,1165,24,6,9,0,4,25
Air India,Banglore,Delhi,0,No Info,4441,170,18,3,13,20,16,10
Multiple carriers,Delhi,Cochin,1,No Info,12537,505,27,3,7,5,15,30
GoAir,Kolkata,Banglore,1,No Info,10091,555,24,3,22,25,7,40
Air India,Banglore,Delhi,0,No Info,6961,170,3,6,21,5,23,55
IndiGo,Delhi,Cochin,0,No Info,5013,195,24,4,5,35,8,50
Air India,Delhi,Cochin,0,No Info,6934,170,18,5,5,10,8,0
Multiple carriers,Delhi,Cochin,1,No Info,10877,740,3,6,6,40,19,0
Jet Airways,Banglore,Delhi,0,No Info,7229,175,18,4,15,15,18,10
IndiGo,Delhi,Cochin,1,No Info,7048,575,27,3,16,0,1,35
Vistara,Banglore,Delhi,0,No Info,4878,155,27,6,17,0,19,35
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,10844,570,21,5,14,5,23,35
Jet Airways,Delhi,Cochin,2,No Info,15129,1760,18,5,23,5,4,25
IndiGo,Banglore,Delhi,0,No Info,3943,175,12,5,0,30,3,25
SpiceJet,Delhi,Cochin,1,No Info,5583,315,6,6,6,5,11,20
Multiple carriers,Delhi,Cochin,1,No Info,9646,545,6,6,7,5,16,10
Multiple carriers,Delhi,Cochin,1,No Info,7677,645,3,6,8,30,19,15
IndiGo,Delhi,Cochin,1,No Info,6842,295,1,6,5,10,10,5
Jet Airways,Mumbai,Hyderabad,0,In-flight meal not included,4995,90,24,6,8,45,10,15
Vistara,Kolkata,Banglore,1,No Info,9555,700,9,6,7,10,18,50
IndiGo,Banglore,Delhi,0,No Info,4077,165,1,6,1,30,4,15
Jet Airways,Banglore,Delhi,0,No Info,7229,175,12,5,15,15,18,10
Multiple carriers,Delhi,Cochin,1,No Info,12192,600,9,6,9,0,19,0
Air India,Banglore,Delhi,0,No Info,5911,165,12,4,10,0,12,45
Air India,Delhi,Cochin,1,No Info,8372,615,12,6,9,0,19,15
Jet Airways,Mumbai,Hyderabad,0,In-flight meal not included,4995,85,18,3,7,10,8,35
Multiple carriers,Delhi,Cochin,1,No Info,14323,555,9,5,10,0,19,15
Jet Airways,Delhi,Cochin,2,No Info,13014,1375,9,6,5,30,4,25
Air India,Delhi,Cochin,2,No Info,13591,1730,6,6,14,25,19,15
Jet Airways,Delhi,Cochin,2,No Info,18799,2245,3,3,5,25,18,50
IndiGo,Banglore,Delhi,0,No Info,3943,170,27,4,23,30,2,20
SpiceJet,Mumbai,Hyderabad,0,No check-in baggage included,1965,90,21,5,5,45,7,15
Jet Airways,Mumbai,Hyderabad,0,In-flight meal not included,4995,90,27,5,10,20,11,50
Air India,Kolkata,Banglore,1,No Info,14641,1540,24,3,16,50,18,30
Air India,Kolkata,Banglore,0,No Info,4460,155,12,4,20,45,23,20
Air India,Delhi,Cochin,1,No Info,10191,375,18,5,13,0,19,15
Jet Airways,Delhi,Cochin,1,In-flight meal not included,13843,1050,9,3,2,15,19,45
IndiGo,Delhi,Cochin,1,No Info,6349,345,1,5,21,50,3,35
Air Asia,Kolkata,Banglore,0,No Info,4409,155,1,5,10,20,12,55
Jet Airways,Delhi,Cochin,1,No Info,17024,1530,6,3,18,15,19,45
Multiple carriers,Delhi,Cochin,1,No Info,13727,835,18,5,7,5,21,0
IndiGo,Banglore,Delhi,0,No Info,8855,175,15,3,18,25,21,20
Multiple carriers,Delhi,Cochin,1,No Info,12524,615,24,6,8,45,19,0
Jet Airways,Banglore,Delhi,1,No Info,13555,520,18,3,11,40,20,20
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,10844,330,6,6,6,30,12,0
Multiple carriers,Delhi,Cochin,1,No Info,13587,720,9,6,9,0,21,0
SpiceJet,Chennai,Kolkata,0,No check-in baggage included,3543,135,12,6,9,45,12,0
Vistara,Chennai,Kolkata,0,No Info,4842,135,18,3,7,5,9,20
IndiGo,Banglore,Delhi,0,No Info,3943,170,24,4,23,30,2,20
Jet Airways,Delhi,Cochin,1,In-flight meal not included,10577,550,9,6,19,15,4,25
IndiGo,Delhi,Cochin,1,No Info,6979,625,15,5,10,35,21,0
Vistara,Chennai,Kolkata,0,No Info,11982,140,27,6,17,45,20,5
SpiceJet,Delhi,Cochin,1,No Info,5264,270,6,6,8,45,13,15
Vistara,Delhi,Cochin,0,No Info,8001,190,3,3,6,0,9,10
Air India,Delhi,Cochin,2,No Info,10651,1410,1,6,19,45,19,15
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,10844,1640,24,5,16,30,19,50
Multiple carriers,Delhi,Cochin,1,No Info,6601,755,27,3,9,45,22,20
Air India,Delhi,Cochin,1,No Info,6587,1455,21,3,19,0,19,15
SpiceJet,Mumbai,Hyderabad,0,No Info,3173,80,21,3,13,10,14,30
Air India,Banglore,Delhi,0,No Info,5228,165,9,5,10,0,12,45
Jet Airways,Banglore,Delhi,0,In-flight meal not included,5769,180,21,6,7,10,10,10
Jet Airways,Delhi,Cochin,1,No Info,14714,660,6,6,8,0,19,0
Jet Airways,Delhi,Cochin,2,No Info,13014,810,3,6,5,30,19,0
IndiGo,Banglore,Delhi,0,No Info,3359,170,3,6,22,10,1,0
GoAir,Banglore,Delhi,0,No Info,6722,175,3,3,20,55,23,50
IndiGo,Kolkata,Banglore,0,No Info,4462,165,18,3,9,35,12,20
IndiGo,Delhi,Cochin,1,No Info,6171,675,9,3,4,55,16,10
Air India,Kolkata,Banglore,2,No Info,12303,875,21,5,5,50,20,25
Multiple carriers,Delhi,Cochin,1,No Info,7695,835,21,3,11,40,1,35
IndiGo,Delhi,Cochin,1,No Info,5684,845,24,6,11,25,1,30
Air India,Kolkata,Banglore,1,No Info,8366,905,12,6,16,50,7,55
Air India,Chennai,Kolkata,0,No Info,19630,135,1,3,11,40,13,55
Jet Airways,Banglore,Delhi,1,In-flight meal not included,13502,900,6,3,14,5,5,5
Jet Airways,Kolkata,Banglore,1,No Info,14781,775,1,5,21,10,10,5
Multiple carriers,Delhi,Cochin,1,No Info,6513,540,12,6,7,10,16,10
Air India,Delhi,Cochin,1,No Info,9929,735,1,6,7,0,19,15
Multiple carriers,Delhi,Cochin,2,No Info,18275,460,6,6,17,50,1,30
Air India,Delhi,Cochin,1,No Info,4487,1640,9,4,6,5,9,25
IndiGo,Mumbai,Hyderabad,0,No Info,2754,85,15,3,21,20,22,45
Air India,Mumbai,Hyderabad,0,No Info,2575,80,27,3,6,20,7,40
SpiceJet,Kolkata,Banglore,1,No Info,8224,330,12,6,15,55,21,25
Air India,Delhi,Cochin,1,No Info,8991,705,9,3,20,30,8,15
IndiGo,Delhi,Cochin,0,No Info,5000,195,24,6,5,35,8,50
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,8529,1495,12,6,18,55,19,50
Air India,Delhi,Cochin,1,No Info,14042,1640,3,3,6,5,9,25
Jet Airways,Banglore,Delhi,0,In-flight meal not included,4030,175,24,5,11,10,14,5
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,10844,1025,6,6,18,55,12,0
IndiGo,Kolkata,Banglore,0,No Info,4804,160,6,5,21,25,0,5
Multiple carriers,Delhi,Cochin,1,In-flight meal not included,7308,480,27,5,17,30,1,30
IndiGo,Banglore,Delhi,0,No Info,4823,180,12,5,16,55,19,55
Jet Airways,Delhi,Cochin,1,In-flight meal not included,10262,1655,24,6,9,0,12,35
Jet Airways,Delhi,Cochin,1,In-flight meal not included,12898,450,27,5,20,55,4,25
Air India,Banglore,Delhi,2,No Info,12778,1375,12,3,17,25,16,20
IndiGo,Delhi,Cochin,1,No Info,14871,515,3,3,4,45,13,20
Air India,Delhi,Cochin,2,No Info,8708,1795,21,3,13,20,19,15
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,10844,1335,6,6,20,0,18,15
SpiceJet,Mumbai,Hyderabad,0,No Info,4129,80,6,3,5,45,7,5
IndiGo,Kolkata,Banglore,0,No Info,4804,160,18,5,21,25,0,5
Jet Airways,Banglore,Delhi,0,No Info,7229,180,6,5,8,20,11,20
Jet Airways,Banglore,Delhi,1,In-flight meal not included,7832,730,21,3,7,0,19,10
SpiceJet,Chennai,Kolkata,0,No Info,3859,155,18,3,9,30,12,5
Multiple carriers,Delhi,Cochin,1,No Info,9001,705,6,6,7,30,19,15
Vistara,Banglore,Delhi,0,No Info,4878,155,9,5,17,0,19,35
IndiGo,Mumbai,Hyderabad,0,No Info,2754,90,3,5,2,35,4,5
Vistara,Banglore,Delhi,0,No Info,4668,160,27,6,7,0,9,40
Air Asia,Kolkata,Banglore,0,No Info,5216,155,12,5,10,20,12,55
Jet Airways,Delhi,Cochin,2,In-flight meal not included,10368,1375,6,6,5,30,4,25
IndiGo,Delhi,Cochin,2,No Info,8146,880,9,3,6,40,21,20
Jet Airways,Delhi,Cochin,1,No Info,12242,925,27,3,13,0,4,25
Jet Airways,Banglore,Delhi,1,In-flight meal not included,9134,435,15,3,8,0,15,15
Air India,Delhi,Cochin,2,No Info,10939,1210,6,6,13,15,9,25
Air India,Delhi,Cochin,2,No Info,11753,1245,6,6,10,55,7,40
SpiceJet,Kolkata,Banglore,0,No Info,4174,150,24,4,17,10,19,40
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,10844,1430,21,5,20,0,19,50
Jet Airways,Delhi,Cochin,1,No Info,14714,1620,3,6,16,0,19,0
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,9899,330,12,6,6,30,12,0
IndiGo,Delhi,Cochin,1,No Info,14871,710,3,3,9,10,21,0
IndiGo,Chennai,Kolkata,0,No Info,7295,135,6,3,13,20,15,35
Air India,Delhi,Cochin,2,No Info,13465,1470,6,6,18,45,19,15
SpiceJet,Chennai,Kolkata,0,No check-in baggage included,3543,140,21,5,17,45,20,5
Multiple carriers,Delhi,Cochin,1,No Info,7198,390,27,6,19,0,1,30
Jet Airways,Delhi,Cochin,1,In-flight meal not included,10262,1225,1,6,8,0,4,25
IndiGo,Kolkata,Banglore,0,No Info,4148,155,15,3,15,20,17,55
Jet Airways,Banglore,Delhi,0,No Info,8016,175,27,6,15,15,18,10
Jet Airways,Delhi,Cochin,1,In-flight meal not included,10262,335,9,6,22,50,4,25
SpiceJet,Kolkata,Banglore,0,No check-in baggage included,3841,150,15,6,14,55,17,25
Jet Airways,Banglore,Delhi,1,No Info,11507,885,12,3,9,45,0,30
Jet Airways,Kolkata,Banglore,1,No Info,14781,740,1,5,8,25,20,45
Jet Airways,Delhi,Cochin,1,No Info,16079,1530,27,5,17,30,19,0
Jet Airways,Delhi,Cochin,1,In-flight meal not included,12898,335,27,5,22,50,4,25
Multiple carriers,Delhi,Cochin,1,No Info,15353,705,6,3,7,30,19,15
IndiGo,Banglore,Delhi,0,No Info,7303,175,24,3,18,25,21,20
SpiceJet,Kolkata,Banglore,1,No Info,6197,340,24,3,15,5,20,45
Air India,Kolkata,Banglore,1,No Info,8996,245,9,6,9,10,13,15
IndiGo,Delhi,Cochin,1,No Info,6528,480,21,3,14,20,22,20
GoAir,Banglore,Delhi,0,No Info,4239,165,9,4,20,55,23,40
IndiGo,Kolkata,Banglore,0,No Info,4148,160,12,3,20,25,23,5
SpiceJet,Banglore,Delhi,0,No Info,3971,175,24,5,21,10,0,5
Air Asia,Kolkata,Banglore,1,No Info,5192,955,6,5,7,35,23,30
Jet Airways,Delhi,Cochin,2,No Info,9483,1390,9,4,13,25,12,35
Jet Airways,Delhi,Cochin,2,No Info,18804,440,3,6,11,40,19,0
Air India,Delhi,Cochin,0,No Info,5201,170,18,6,5,10,8,0
